id;Date
246;01/01/1999 00:00
247;03/01/1999 00:00
248;31/07/2008 00:00
249;28/03/1998 00:00
250;05/05/1998 00:00
251;18/06/1998 00:00
252;04/07/1998 00:00
253;10/07/1998 00:00
254;22/07/1998 00:00
255;01/08/1998 00:00
256;10/08/1998 00:00
257;24/12/1998 00:00
258;02/09/1998 00:00
259;23/11/1998 00:00
260;13/02/1999 00:00
261;21/02/1999 00:00
262;13/01/1999 00:00
263;25/01/1999 00:00
264;29/01/1999 00:00
265;11/02/1999 00:00
266;01/03/1999 00:00
267;05/03/1999 00:00
268;01/04/1999 00:00
269;23/04/1999 00:00
270;04/05/1999 00:00
271;12/06/1999 00:00
272;16/06/1999 00:00
273;18/06/1999 00:00
274;21/06/1999 00:00
275;28/06/1999 00:00
276;04/07/1999 00:00
277;06/07/1999 00:00
278;16/07/1999 00:00
279;09/08/1999 00:00
280;03/09/1999 00:00
281;07/09/1999 00:00
282;23/09/1999 00:00
283;24/09/1999 00:00
284;01/10/1999 00:00
285;07/12/1999 00:00
286;30/12/1999 00:00
287;17/01/2000 00:00
288;13/04/2000 00:00
289;20/04/2000 00:00
290;14/07/2000 00:00
291;01/08/2000 00:00
292;19/05/2000 00:00
293;03/07/2000 00:00
294;07/07/2000 00:00
295;29/10/2000 00:00
296;02/11/2000 00:00
297;27/11/2000 00:00
298;10/02/2001 00:00
299;01/04/2001 00:00
300;01/06/2001 00:00
301;31/07/2001 00:00
302;01/07/2001 00:00
303;11/09/2001 00:00
304;19/09/2001 00:00
305;14/04/2002 00:00
306;20/05/2002 00:00
307;14/05/2002 00:00
308;17/05/2002 00:00
309;30/05/2002 00:00
310;01/05/2002 00:00
311;09/06/2002 00:00
312;11/06/2002 00:00
313;21/06/2002 00:00
314;23/06/2002 00:00
315;24/06/2002 00:00
316;28/06/2002 00:00
317;02/07/2002 00:00
318;03/07/2002 00:00
319;30/07/2002 00:00
320;01/07/2002 00:00
321;12/08/2002 00:00
322;16/11/2002 00:00
323;21/01/2003 00:00
324;21/02/2003 00:00
325;15/02/2003 00:00
326;31/03/2003 00:00
327;01/04/2003 00:00
328;19/05/2003 00:00
329;01/07/2003 00:00
330;21/07/2003 00:00
331;04/08/2003 00:00
332;14/08/2003 00:00
333;29/09/2003 00:00
334;16/10/2003 00:00
335;18/02/2004 00:00
336;24/03/2004 00:00
337;19/05/2004 00:00
338;08/07/2004 00:00
339;02/07/2004 00:00
340;21/07/2004 00:00
341;10/08/2004 00:00
342;13/08/2004 00:00
343;26/12/2004 00:00
344;27/12/2004 00:00
345;17/01/2005 00:00
346;30/03/2005 00:00
347;23/04/2005 00:00
348;09/04/2005 00:00
349;11/05/2005 00:00
350;25/05/2005 00:00
351;29/05/2005 00:00
352;02/06/2005 00:00
353;06/06/2005 00:00
354;23/06/2005 00:00
355;28/08/2005 00:00
356;31/08/2005 00:00
357;27/09/2005 00:00
358;28/09/2005 00:00
359;24/09/2005 00:00
360;26/10/2005 00:00
361;13/12/2005 00:00
362;04/02/2006 00:00
363;13/04/2006 00:00
364;23/04/2006 00:00
365;20/05/2006 00:00
366;16/06/2006 00:00
367;27/05/2006 00:00
368;03/07/2006 00:00
369;04/07/2006 00:00
370;06/07/2006 00:00
371;24/07/2006 00:00
372;15/08/2006 00:00
373;19/08/2006 00:00
374;28/10/2006 00:00
375;01/12/2006 00:00
376;20/12/2006 00:00
377;11/12/2006 00:00
378;12/03/2007 00:00
379;03/04/2007 00:00
380;19/04/2007 00:00
381;23/04/2007 00:00
382;28/04/2007 00:00
383;10/05/2007 00:00
384;25/05/2007 00:00
385;27/05/2007 00:00
386;03/06/2007 00:00
387;05/06/2007 00:00
388;16/06/2007 00:00
389;05/07/2007 00:00
390;21/07/2007 00:00
391;22/06/2007 00:00
392;19/07/2007 00:00
393;01/08/2007 00:00
394;04/08/2007 00:00
395;08/08/2007 00:00
396;12/11/2007 00:00
397;17/12/2007 00:00
398;10/12/2007 00:00
399;28/01/2008 00:00
400;14/02/2008 00:00
401;18/02/2008 00:00
402;21/03/2008 00:00
403;14/04/2008 00:00
404;17/04/2008 00:00
405;25/04/2008 00:00
406;28/04/2008 00:00
407;30/05/2008 00:00
408;09/05/2008 00:00
409;16/05/2008 00:00
410;10/06/2008 00:00
411;28/05/2008 00:00
412;24/05/2008 00:00
413;31/05/2008 00:00
414;13/06/2008 00:00
415;29/06/2008 00:00
416;30/06/2008 00:00
417;11/07/2008 00:00
418;01/07/2008 00:00
419;20/07/2008 00:00
420;15/04/2007 00:00
421;22/07/2008 00:00
422;10/08/2008 00:00
423;15/08/2008 00:00
424;07/09/2008 00:00
425;15/09/2008 00:00
426;24/04/1979 00:00
427;08/06/1999 00:00
428;01/06/1995 00:00
429;17/04/2006 00:00
430;03/11/2007 00:00
431;08/06/2008 00:00
432;06/09/2008 00:00
433;05/05/2008 00:00
434;29/08/2008 00:00
435;30/07/2008 00:00
436;06/01/2009 00:00
437;28/11/2003 00:00
438;13/03/2003 00:00
439;01/08/2008 00:00
440;21/01/2000 00:00
441;01/04/2009 00:00
442;14/04/2010 00:00
443;01/05/2009 00:00
444;23/05/2010 00:00
445;25/04/2009 00:00
446;23/09/1993 00:00
447;26/09/2005 00:00
448;20/08/2009 00:00
449;01/08/2009 00:00
450;28/06/2009 00:00
451;26/07/2009 00:00
452;14/05/2009 00:00
453;05/04/2009 00:00
454;23/06/2010 00:00
455;04/08/2009 00:00
456;14/08/2009 00:00
457;23/08/2009 00:00
458;25/10/2009 00:00
459;04/11/2007 00:00
460;04/12/2007 00:00
461;28/09/2008 00:00
462;21/08/2010 00:00
463;18/07/2009 00:00
464;04/11/2010 00:00
465;21/05/2008 00:00
466;02/01/2010 00:00
467;29/06/2010 00:00
468;12/12/2010 00:00
469;13/12/2010 00:00
470;06/06/2010 00:00
471;22/07/2010 00:00
472;21/09/2010 00:00
473;28/07/2010 00:00
474;12/01/2010 00:00
475;01/01/1921 00:00
476;15/07/1974 00:00
477;29/10/1978 00:00
478;09/01/2008 00:00
479;01/11/1978 00:00
480;16/05/1986 00:00
481;08/02/1921 00:00
482;13/07/1986 00:00
483;28/03/1987 00:00
484;12/05/2010 00:00
485;28/10/1921 00:00
486;02/04/1987 00:00
487;19/07/1989 00:00
488;01/01/1922 00:00
489;23/08/1989 00:00
490;06/04/2010 00:00
491;27/05/2010 00:00
492;17/06/1922 00:00
493;19/07/1996 00:00
494;08/11/1996 00:00
495;05/12/2010 00:00
496;22/06/1922 00:00
497;29/04/1999 00:00
498;23/07/2005 00:00
499;30/09/1922 00:00
500;24/03/2009 00:00
501;01/03/2009 00:00
502;01/01/1923 00:00
503;29/04/1923 00:00
504;29/10/1924 00:00
505;01/01/1924 00:00
506;07/05/1925 00:00
507;01/01/1939 00:00
508;01/03/1927 00:00
509;09/01/1927 00:00
510;24/08/1927 00:00
511;01/01/1928 00:00
512;01/04/1928 00:00
513;01/01/1929 00:00
514;18/01/1929 00:00
515;05/04/1929 00:00
516;18/11/1929 00:00
517;01/01/1930 00:00
518;26/06/1930 00:00
519;27/06/1930 00:00
520;08/09/1931 00:00
521;01/01/1931 00:00
522;04/05/1933 00:00
523;25/10/1933 00:00
524;20/11/1933 00:00
525;01/12/1933 00:00
526;16/04/1934 00:00
527;01/06/1935 00:00
528;10/01/1935 00:00
529;01/01/1935 00:00
530;25/08/1935 00:00
531;10/03/1936 00:00
532;12/04/1936 00:00
533;13/07/1936 00:00
534;05/07/1936 00:00
535;16/03/1936 00:00
536;15/08/1936 00:00
537;01/09/1936 00:00
538;13/01/1937 00:00
539;26/04/1937 00:00
540;01/09/1938 00:00
