ID;EVENT CATEGORY;EVENT GROUP;EVENT SUBGROUP;EVENT TYPE;UTILITY - PEOPLE AFFECTED;MAGNITUDE
109;Disaster;Natural;Meteorological - Hydrological;Tornado;8000;0
110;Disaster;Natural;Meteorological - Hydrological;Hurricane / Typhoon / Tropical Storm;1169000;0
111;Disaster;Natural;Meteorological - Hydrological;Tornado;;2
112;Disaster;Natural;Meteorological - Hydrological;Geomagnetic Storm;6925128;0
113;Disaster;Natural;Geological;Earthquake;;9
114;Disaster;Natural;Meteorological - Hydrological;Flood;1500;0
115;Disaster;Natural;Biological;Epidemic;;0
116;Disaster;Natural;Meteorological - Hydrological;Flood;300000;0
117;Incident;Technology;Transportation accident;Rail;;0
118;Disaster;Natural;Meteorological - Hydrological;Storm - Unspecified / Other;;0
119;Disaster;Natural;Meteorological - Hydrological;Storms and Severe Thunderstorms;;0
120;Incident;Technology;Infrastructure failure;Manufacturing / Industry;300;0
121;Incident;Conflict;Terrorist;Shootings;;0
122;Incident;Technology;Fire;Residential;;0
123;Incident;Conflict;Terrorist;Kidnapping / Murder;;0
124;Disaster;Natural;Meteorological - Hydrological;Winter Storm;153000;0
125;Disaster;Natural;Meteorological - Hydrological;Winter Storm;2490000;0
126;Disaster;Natural;Meteorological - Hydrological;Hurricane / Typhoon / Tropical Storm;939000;0
127;Disaster;Natural;Meteorological - Hydrological;Winter Storm;317000;0
128;Disaster;Natural;Meteorological - Hydrological;Tornado;150000;0
129;Disaster;Natural;Geological;Earthquake;860000;7,8
130;Disaster;Natural;Meteorological - Hydrological;Winter Storm;12000;0
131;Disaster;Natural;Meteorological - Hydrological;Storms and Severe Thunderstorms;25000;0
132;Disaster;Natural;Meteorological - Hydrological;Storms and Severe Thunderstorms;5000;0
133;Disaster;Natural;Meteorological - Hydrological;Wildfire;300;0
134;Disaster;Natural;Meteorological - Hydrological;Storm - Unspecified / Other;1500000;0
135;Incident;Technology;Hazardous Chemicals;Leak / Spill Release;;0
136;Disaster;Natural;Meteorological - Hydrological;Storms and Severe Thunderstorms;9000;0
137;Disaster;Natural;Meteorological - Hydrological;Storms and Severe Thunderstorms;105000;0
138;Disaster;Natural;Meteorological - Hydrological;Flood;20000;0
139;Disaster;Natural;Meteorological - Hydrological;Winter Storm;69000;0
140;Disaster;Natural;Meteorological - Hydrological;Storm - Unspecified / Other;10038;0
141;Disaster;Natural;Meteorological - Hydrological;Winter Storm;750000;0
142;Disaster;Natural;Meteorological - Hydrological;Winter Storm;300000;0
143;Disaster;Natural;Meteorological - Hydrological;Storms and Severe Thunderstorms;117000;0
144;Disaster;Natural;Geological;Landslide;;0
145;Disaster;Natural;Meteorological - Hydrological;Flood;390600;0
146;Disaster;Natural;Meteorological - Hydrological;Storms and Severe Thunderstorms;33000;0
147;Disaster;Natural;Meteorological - Hydrological;Tornado;54000;0
148;Disaster;Natural;Meteorological - Hydrological;Storm - Unspecified / Other;225000;0
149;Disaster;Natural;Meteorological - Hydrological;Storm - Unspecified / Other;300000;0
150;Disaster;Natural;Meteorological - Hydrological;Storm - Unspecified / Other;480000;0
151;Disaster;Natural;Meteorological - Hydrological;Flood;6000;0
